Contig	Contigs	Lifestyle	gene_id	scaffold	auxiliary_score	amg_flags	gene_description	module	sheet	header	subheader	potential_amg	gene_id_origin	metabolism	reference	verified
86	phage_6441	virulent	PF01408	phage_6441__full-cat_1	2	MK	"Oxidoreductase family, NAD-binding Rossmann fold"						amg_database		Roux et al. 2016	FALSE
87	phage_656	virulent	GT2	phage_656__full-cat_1	2	MF	GT2 cellulose synthase	GlycosylTransferases	carbon utilization	CAZY		TRUE	genome_summary_form			
88	phage_656	virulent	PF04724	phage_656__full-cat_1	2	MKF	Glycosyltransferase family 17						amg_database		Roux et al. 2016	FALSE
89	phage_656	virulent	PF00266	phage_656__full-cat_1	2	MK	Aminotransferase class-V						amg_database	M	Roux et al. 2016	FALSE
90	phage_656	virulent	PF01053	phage_656__full-cat_1	2	MK	Cys/Met metabolism PLP-dependent enzyme						amg_database	M	Roux et al. 2016	FALSE
91	phage_656	virulent	PF01073	phage_656__full-cat_1	2	MK	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	FALSE
92	phage_656	virulent	PF01370	phage_656__full-cat_1	2	MK	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	FALSE
93	phage_656	virulent	PF04321	phage_656__full-cat_1	2	MK	RmlD substrate binding domain						amg_database		Roux et al. 2016	FALSE
94	phage_656	virulent	PF01073	phage_656__full-cat_1	2	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	FALSE
95	phage_656	virulent	PF01370	phage_656__full-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	FALSE
96	phage_656	virulent	PF04321	phage_656__full-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	FALSE
97	phage_656	virulent	PF01370	phage_656__full-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	FALSE
98	phage_656	virulent	PF04321	phage_656__full-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	FALSE
99	phage_6772	temperate	PF00534	phage_6772__full-cat_2	3	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	FALSE
100	phage_6854	Unknown	PF01503	phage_6854__full-cat_2	3	MKF	Phosphoribosyl-ATP pyrophosphohydrolase						amg_database	M	Roux et al. 2016	FALSE
101	phage_688	Unknown	PF01073	phage_688__full-cat_1	2	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	FALSE
102	phage_688	Unknown	PF01370	phage_688__full-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	FALSE
103	phage_688	Unknown	PF04321	phage_688__full-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	FALSE
104	phage_688	Unknown	PF03721	phage_688__full-cat_1	2	MKF	"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"						amg_database		Roux et al. 2016	FALSE
105	phage_688	Unknown	PF00984	phage_688__full-cat_1	2	MKF	"UDP-glucose/GDP-mannose dehydrogenase family, central domain"						amg_database		Roux et al. 2016	FALSE
106	phage_7062	temperate	K00558	phage_7062__full-cat_1	2	M	DNA (cytosine-5-)-methyltransferase	Methionine degradation	Organic Nitrogen	Amino Acid		TRUE	genome_summary_form			
107	phage_7295	Unknown	PF01073	phage_7295__full-cat_1	2	MK	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	FALSE
108	phage_7295	Unknown	PF01370	phage_7295__full-cat_1	2	MK	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	FALSE
109	phage_7295	Unknown	PF04321	phage_7295__full-cat_1	2	MK	RmlD substrate binding domain						amg_database		Roux et al. 2016	FALSE
110	phage_833	virulent	PF02867	phage_833__full-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	TRUE
111	phage_833	virulent	PF00317	phage_833__full-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	TRUE
112	phage_842	temperate	K00558	phage_842__full-cat_1	2	M	DNA (cytosine-5-)-methyltransferase	Methionine degradation	Organic Nitrogen	Amino Acid		TRUE	genome_summary_form			
113	phage_849	Unknown	PF13385	phage_849__full-cat_1	1	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	FALSE
114	phage_907	Unknown	PF13385	phage_907__full-cat_2	3	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	FALSE
