Contig	Order	Family	Genus	VC	VC Status	Size	VC Subcluster	VC Subcluster Size	Quality	Adj P-value	Topology Confidence Score	Genera in VC	Families in VC	Orders in VC	Genus Confidence Score
phage_3154	Unassigned	Unassigned	Unassigned	535_0	Clustered	2	VC_535_0	2	1	1	1	1	1	1	1
phage_4652	Unassigned	Unassigned	Unassigned	535_0	Clustered	2	VC_535_0	2	1	1	1	1	1	1	1
phage_3157	Unassigned	Unassigned	Unassigned	536_0	Clustered	2	VC_536_0	2	0.699	0.72985431	0.5102	1	1	1	1
phage_5914	Unassigned	Unassigned	Unassigned	536_0	Clustered	2	VC_536_0	2	0.699	0.72985431	0.5102	1	1	1	1
phage_3208	Unassigned	Unassigned	Unassigned	537_0	Clustered	3	VC_537_0	3	0.9537	0.81445332	0.7767	1	1	1	1
phage_4055	Unassigned	Unassigned	Unassigned	537_0	Clustered	3	VC_537_0	3	0.9537	0.81445332	0.7767	1	1	1	1
phage_6441	Unassigned	Unassigned	Unassigned	537_0	Clustered	3	VC_537_0	3	0.9537	0.81445332	0.7767	1	1	1	1
phage_3233	Unassigned	Unassigned	Unassigned	538_0	Clustered	2	VC_538_0	2	0.7673	0.5	0.3836	1	1	1	1
phage_6356	Unassigned	Unassigned	Unassigned	538_0	Clustered	2	VC_538_0	2	0.7673	0.5	0.3836	1	1	1	1
phage_3268	Unassigned	Unassigned	Unassigned	539_0	Clustered	2	VC_539_0	2	1	1	1	1	1	1	1
phage_3309	Unassigned	Unassigned	Unassigned	539_0	Clustered	2	VC_539_0	2	1	1	1	1	1	1	1
phage_3311	Unassigned	Unassigned	Unassigned	540_0	Clustered	3	VC_540_0	3	0.6514	0.89203753	0.5811	1	1	1	1
phage_4484	Unassigned	Unassigned	Unassigned	540_0	Clustered	3	VC_540_0	3	0.6514	0.89203753	0.5811	1	1	1	1
phage_4779	Unassigned	Unassigned	Unassigned	540_0	Clustered	3	VC_540_0	3	0.6514	0.89203753	0.5811	1	1	1	1
phage_3314	Unassigned	Unassigned	Unassigned	541_0	Clustered	2	VC_541_0	2	1	1	1	1	1	1	1
phage_5994	Unassigned	Unassigned	Unassigned	541_0	Clustered	2	VC_541_0	2	1	1	1	1	1	1	1
phage_3318	Unassigned	Unassigned	Unassigned	542_0	Clustered	2	VC_542_0	2	1	1	1	1	1	1	1
phage_4855	Unassigned	Unassigned	Unassigned	542_0	Clustered	2	VC_542_0	2	1	1	1	1	1	1	1
phage_3336	Unassigned	Unassigned	Unassigned	543_0	Clustered	2	VC_543_0	2	0.3034	0.81445332	0.2471	1	1	1	1
phage_4767	Unassigned	Unassigned	Unassigned	543_0	Clustered	2	VC_543_0	2	0.3034	0.81445332	0.2471	1	1	1	1
phage_3339	Unassigned	Unassigned	Unassigned	544_0	Clustered	2	VC_544_0	2	1	1	1	1	1	1	1
phage_496	Unassigned	Unassigned	Unassigned	544_0	Clustered	2	VC_544_0	2	1	1	1	1	1	1	1
phage_3347	Unassigned	Unassigned	Unassigned	545_0	Clustered	2	VC_545_0	2	1	1	1	1	1	1	1
phage_5251	Unassigned	Unassigned	Unassigned	545_0	Clustered	2	VC_545_0	2	1	1	1	1	1	1	1
phage_3583	Unassigned	Unassigned	Unassigned	546_0	Clustered	2	VC_546_0	2	1	1	1	1	1	1	1
phage_5318	Unassigned	Unassigned	Unassigned	546_0	Clustered	2	VC_546_0	2	1	1	1	1	1	1	1
phage_4089	Unassigned	Unassigned	Unassigned	547_0	Clustered	2	VC_547_0	2	1	1	1	1	1	1	1
phage_902	Unassigned	Unassigned	Unassigned	547_0	Clustered	2	VC_547_0	2	1	1	1	1	1	1	1
phage_4090	Unassigned	Unassigned	Unassigned	548_0	Clustered	2	VC_548_0	2	1	1	1	1	1	1	1
phage_5006	Unassigned	Unassigned	Unassigned	548_0	Clustered	2	VC_548_0	2	1	1	1	1	1	1	1
phage_4098	Unassigned	Unassigned	Unassigned	549_0	Clustered	2	VC_549_0	2	1	1	1	1	1	1	1
phage_4746	Unassigned	Unassigned	Unassigned	549_0	Clustered	2	VC_549_0	2	1	1	1	1	1	1	1
phage_4491	Unassigned	Unassigned	Unassigned	550_0	Clustered	2	VC_550_0	2	1	1	1	1	1	1	1
phage_6338	Unassigned	Unassigned	Unassigned	550_0	Clustered	2	VC_550_0	2	1	1	1	1	1	1	1
phage_4496	Unassigned	Unassigned	Unassigned	551_0	Clustered	2	VC_551_0	2	1	1	1	1	1	1	1
phage_4524	Unassigned	Unassigned	Unassigned	551_0	Clustered	2	VC_551_0	2	1	1	1	1	1	1	1
phage_51	Unassigned	Unassigned	Unassigned	552_0	Clustered	2	VC_552_0	2	1	1	1	1	1	1	1
phage_829	Unassigned	Unassigned	Unassigned	552_0	Clustered	2	VC_552_0	2	1	1	1	1	1	1	1
phage_5298	Unassigned	Unassigned	Unassigned	553_0	Clustered	2	VC_553_0	2	1	1	1	1	1	1	1
phage_885	Unassigned	Unassigned	Unassigned	553_0	Clustered	2	VC_553_0	2	1	1	1	1	1	1	1
phage_5315	Unassigned	Unassigned	Unassigned	554_0	Clustered	2	VC_554_0	2	1	1	1	1	1	1	1
phage_863	Unassigned	Unassigned	Unassigned	554_0	Clustered	2	VC_554_0	2	1	1	1	1	1	1	1
phage_5735	Unassigned	Unassigned	Unassigned	555_0	Clustered	2	VC_555_0	2	1	1	1	1	1	1	1
phage_5885	Unassigned	Unassigned	Unassigned	555_0	Clustered	2	VC_555_0	2	1	1	1	1	1	1	1
phage_5858	Unassigned	Unassigned	Unassigned	556_0	Clustered	2	VC_556_0	2	1	1	1	1	1	1	1
phage_877	Unassigned	Unassigned	Unassigned	556_0	Clustered	2	VC_556_0	2	1	1	1	1	1	1	1
phage_5873	Unassigned	Unassigned	Unassigned	557_0	Clustered	2	VC_557_0	2	1	1	1	1	1	1	1
phage_6369	Unassigned	Unassigned	Unassigned	557_0	Clustered	2	VC_557_0	2	1	1	1	1	1	1	1
phage_5928	Unassigned	Unassigned	Unassigned	558_0	Clustered	2	VC_558_0	2	1	1	1	1	1	1	1
phage_809	Unassigned	Unassigned	Unassigned	558_0	Clustered	2	VC_558_0	2	1	1	1	1	1	1	1
phage_6180	Unassigned	Unassigned	Unassigned	559_0	Clustered	3	VC_559_0	3	1	1	1	1	1	1	1
phage_6344	Unassigned	Unassigned	Unassigned	559_0	Clustered	3	VC_559_0	3	1	1	1	1	1	1	1
phage_6358	Unassigned	Unassigned	Unassigned	559_0	Clustered	3	VC_559_0	3	1	1	1	1	1	1	1
phage_4542	Unassigned	Unassigned	Unassigned	96_0	Clustered	2	VC_96_0	2	0.0117	0.57774056	0.0067	1	1	1	1
phage_807	Unassigned	Unassigned	Unassigned	96_0	Clustered	2	VC_96_0	2	0.0117	0.57774056	0.0067	1	1	1	1
phage_1003	Unassigned	Unassigned	Unassigned		Outlier										
phage_1011	Unassigned	Unassigned	Unassigned		Singleton										
phage_1025	Unassigned	Unassigned	Unassigned		Singleton										
phage_1028	Unassigned	Unassigned	Unassigned		Outlier										
phage_1029	Unassigned	Unassigned	Unassigned		Singleton										
phage_1033	Unassigned	Unassigned	Unassigned		Outlier										
phage_1034	Unassigned	Unassigned	Unassigned		Singleton										
phage_1035	Unassigned	Unassigned	Unassigned		Singleton										
phage_1037	Unassigned	Unassigned	Unassigned		Singleton										
phage_1039	Unassigned	Unassigned	Unassigned		Outlier										
phage_1041	Unassigned	Unassigned	Unassigned		Singleton										
phage_1044	Unassigned	Unassigned	Unassigned		Outlier										
phage_1047	Unassigned	Unassigned	Unassigned		Singleton										
phage_1051	Unassigned	Unassigned	Unassigned		Singleton										
phage_1053	Unassigned	Unassigned	Unassigned		Overlap (VC_476/VC_477)										
phage_1056	Unassigned	Unassigned	Unassigned		Singleton										
phage_1074	Unassigned	Unassigned	Unassigned		Singleton										
phage_1075	Unassigned	Unassigned	Unassigned		Singleton										
phage_1091	Unassigned	Unassigned	Unassigned		Singleton										
phage_1108	Unassigned	Unassigned	Unassigned		Singleton										
phage_1121	Unassigned	Unassigned	Unassigned		Singleton										
phage_1133	Unassigned	Unassigned	Unassigned		Singleton										
phage_1140	Unassigned	Unassigned	Unassigned		Singleton										
phage_1156	Unassigned	Unassigned	Unassigned		Singleton										
phage_1160	Unassigned	Unassigned	Unassigned		Singleton										
phage_1164	Unassigned	Unassigned	Unassigned		Singleton										
phage_1170	Unassigned	Unassigned	Unassigned		Singleton										
phage_1190	Unassigned	Unassigned	Unassigned		Singleton										
phage_1226	Unassigned	Unassigned	Unassigned		Singleton										
phage_1231	Unassigned	Unassigned	Unassigned		Outlier										
phage_1232	Unassigned	Unassigned	Unassigned		Overlap (VC_229/VC_230/VC_471)										
phage_1233	Unassigned	Unassigned	Unassigned		Singleton										
phage_1234	Unassigned	Unassigned	Unassigned		Overlap (VC_229/VC_230/VC_471)										
phage_1236	Unassigned	Unassigned	Unassigned		Singleton										
phage_1237	Unassigned	Unassigned	Unassigned		Singleton										
phage_1240	Unassigned	Unassigned	Unassigned		Singleton										
phage_1241	Unassigned	Unassigned	Unassigned		Outlier										
phage_1242	Unassigned	Unassigned	Unassigned		Singleton										
phage_1244	Unassigned	Unassigned	Unassigned		Singleton										
phage_1245	Unassigned	Unassigned	Unassigned		Singleton										
phage_1246	Unassigned	Unassigned	Unassigned		Singleton										
phage_1247	Unassigned	Unassigned	Unassigned		Overlap (VC_230/VC_471)										
phage_1249	Unassigned	Unassigned	Unassigned		Singleton										
phage_1250	Unassigned	Unassigned	Unassigned		Singleton										
phage_1251	Unassigned	Unassigned	Unassigned		Singleton										
phage_1252	Unassigned	Unassigned	Unassigned		Singleton										
phage_1254	Unassigned	Unassigned	Unassigned		Singleton										
phage_1258	Unassigned	Unassigned	Unassigned		Singleton										
phage_1259	Unassigned	Unassigned	Unassigned		Outlier										
phage_126	Unassigned	Unassigned	Unassigned		Singleton										
phage_1260	Unassigned	Unassigned	Unassigned		Singleton										
phage_1261	Unassigned	Unassigned	Unassigned		Singleton										
phage_1263	Unassigned	Unassigned	Unassigned		Singleton										
phage_1265	Unassigned	Unassigned	Unassigned		Singleton										
phage_1266	Unassigned	Unassigned	Unassigned		Singleton										
phage_1267	Unassigned	Unassigned	Unassigned		Singleton										
phage_1270	Unassigned	Unassigned	Unassigned		Singleton										
phage_1271	Unassigned	Unassigned	Unassigned		Singleton										
phage_1272	Unassigned	Unassigned	Unassigned		Singleton										
phage_1273	Unassigned	Unassigned	Unassigned		Singleton										
phage_1274	Unassigned	Unassigned	Unassigned		Singleton										
phage_1278	Unassigned	Unassigned	Unassigned		Singleton										
phage_1279	Unassigned	Unassigned	Unassigned		Singleton										
phage_1286	Unassigned	Unassigned	Unassigned		Singleton										
phage_1292	Unassigned	Unassigned	Unassigned		Singleton										
phage_1380	Unassigned	Unassigned	Unassigned		Singleton										
phage_1404	Unassigned	Unassigned	Unassigned		Overlap (VC_476/VC_477)										
phage_1417	Unassigned	Unassigned	Unassigned		Singleton										
phage_1494	Unassigned	Unassigned	Unassigned		Singleton										
phage_1498	Unassigned	Unassigned	Unassigned		Singleton										
phage_1596	Unassigned	Unassigned	Unassigned		Singleton										
phage_1652	Unassigned	Unassigned	Unassigned		Singleton										
phage_1659	Unassigned	Unassigned	Unassigned		Singleton										
phage_1672	Unassigned	Unassigned	Unassigned		Singleton										
phage_1678	Unassigned	Unassigned	Unassigned		Singleton										
phage_168	Unassigned	Unassigned	Unassigned		Singleton										
phage_1687	Unassigned	Unassigned	Unassigned		Singleton										
phage_1718	Unassigned	Unassigned	Unassigned		Singleton										
phage_1837	Unassigned	Unassigned	Unassigned		Singleton										
phage_1874	Unassigned	Unassigned	Unassigned		Singleton										
phage_1918	Unassigned	Unassigned	Unassigned		Singleton										
phage_1927	Unassigned	Unassigned	Unassigned		Singleton										
phage_1972	Unassigned	Unassigned	Unassigned		Singleton										
phage_1976	Unassigned	Unassigned	Unassigned		Singleton										
phage_1988	Unassigned	Unassigned	Unassigned		Singleton										
phage_1995	Unassigned	Unassigned	Unassigned		Singleton										
phage_2063	Unassigned	Unassigned	Unassigned		Singleton										
phage_2082	Unassigned	Unassigned	Unassigned		Singleton										
phage_2096	Unassigned	Unassigned	Unassigned		Singleton										
phage_2102	Unassigned	Unassigned	Unassigned		Singleton										
phage_2127	Unassigned	Unassigned	Unassigned		Singleton										
phage_2143	Unassigned	Unassigned	Unassigned		Singleton										
phage_215	Unassigned	Unassigned	Unassigned		Outlier										
phage_217	Unassigned	Unassigned	Unassigned		Singleton										
phage_2200	Unassigned	Unassigned	Unassigned		Singleton										
phage_2235	Unassigned	Unassigned	Unassigned		Singleton										
phage_2258	Unassigned	Unassigned	Unassigned		Singleton										
phage_2281	Unassigned	Unassigned	Unassigned		Singleton										
phage_2289	Unassigned	Unassigned	Unassigned		Outlier										
phage_2304	Unassigned	Unassigned	Unassigned		Singleton										
phage_2339	Unassigned	Unassigned	Unassigned		Singleton										
phage_2358	Unassigned	Unassigned	Unassigned		Singleton										
phage_2427	Unassigned	Unassigned	Unassigned		Singleton										
phage_2452	Unassigned	Unassigned	Unassigned		Singleton										
phage_2463	Unassigned	Unassigned	Unassigned		Singleton										
phage_2541	Unassigned	Unassigned	Unassigned		Outlier										
phage_2571	Unassigned	Unassigned	Unassigned		Singleton										
phage_2614	Unassigned	Unassigned	Unassigned		Singleton										
phage_2640	Unassigned	Unassigned	Unassigned		Singleton										
phage_2698	Unassigned	Unassigned	Unassigned		Singleton										
phage_2708	Unassigned	Unassigned	Unassigned		Singleton										
phage_2744	Unassigned	Unassigned	Unassigned		Outlier										
phage_2753	Unassigned	Unassigned	Unassigned		Singleton										
phage_2789	Unassigned	Unassigned	Unassigned		Singleton										
phage_2818	Unassigned	Unassigned	Unassigned		Singleton										
phage_2844	Unassigned	Unassigned	Unassigned		Singleton										
phage_2858	Unassigned	Unassigned	Unassigned		Singleton										
phage_2864	Unassigned	Unassigned	Unassigned		Singleton										
phage_2865	Unassigned	Unassigned	Unassigned		Singleton										
phage_2866	Unassigned	Unassigned	Unassigned		Singleton										
phage_2867	Unassigned	Unassigned	Unassigned		Outlier										
phage_2869	Unassigned	Unassigned	Unassigned		Singleton										
phage_2876	Unassigned	Unassigned	Unassigned		Singleton										
phage_2878	Unassigned	Unassigned	Unassigned		Outlier										
phage_2879	Unassigned	Unassigned	Unassigned		Singleton										
phage_2880	Unassigned	Unassigned	Unassigned		Singleton										
phage_2885	Unassigned	Unassigned	Unassigned		Singleton										
phage_2886	Unassigned	Unassigned	Unassigned		Singleton										
phage_2888	Unassigned	Unassigned	Unassigned		Outlier										
phage_2890	Unassigned	Unassigned	Unassigned		Overlap (VC_229/VC_230/VC_471)										
phage_2892	Unassigned	Unassigned	Unassigned		Singleton										
phage_2893	Unassigned	Unassigned	Unassigned		Singleton										
phage_2900	Unassigned	Unassigned	Unassigned		Singleton										
phage_2906	Unassigned	Unassigned	Unassigned		Outlier										
phage_2911	Unassigned	Unassigned	Unassigned		Singleton										
phage_2912	Unassigned	Unassigned	Unassigned		Singleton										
phage_2913	Unassigned	Unassigned	Unassigned		Singleton										
phage_2916	Unassigned	Unassigned	Unassigned		Singleton										
phage_2918	Unassigned	Unassigned	Unassigned		Outlier										
phage_2920	Unassigned	Unassigned	Unassigned		Singleton										
phage_2921	Unassigned	Unassigned	Unassigned		Singleton										
phage_2922	Unassigned	Unassigned	Unassigned		Singleton										
phage_2926	Unassigned	Unassigned	Unassigned		Outlier										
phage_2927	Unassigned	Unassigned	Unassigned		Singleton										
phage_2929	Unassigned	Unassigned	Unassigned		Singleton										
phage_2930	Unassigned	Unassigned	Unassigned		Singleton										
phage_2931	Unassigned	Unassigned	Unassigned		Outlier										
phage_2933	Unassigned	Unassigned	Unassigned		Singleton										
phage_2934	Unassigned	Unassigned	Unassigned		Singleton										
phage_2937	Unassigned	Unassigned	Unassigned		Outlier										
phage_2939	Unassigned	Unassigned	Unassigned		Singleton										
phage_2940	Unassigned	Unassigned	Unassigned		Singleton										
phage_2941	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_2942	Unassigned	Unassigned	Unassigned		Singleton										
phage_2945	Unassigned	Unassigned	Unassigned		Outlier										
phage_2946	Unassigned	Unassigned	Unassigned		Singleton										
phage_2948	Unassigned	Unassigned	Unassigned		Singleton										
phage_2949	Unassigned	Unassigned	Unassigned		Outlier										
phage_2951	Unassigned	Unassigned	Unassigned		Outlier										
phage_2954	Unassigned	Unassigned	Unassigned		Singleton										
phage_2955	Unassigned	Unassigned	Unassigned		Outlier										
